駅コード	駅名	備考
00f0	札幌市内	#unused
00f1	仙台市内	#unused
00f2	東京都区内	#unused
00f3	東京山手線内	#unused
00f4	横浜市内	#unused
00f6	名古屋市内	#unused
00f7	京都市内	#unused
00f8	大阪市内	#unused
00f9	神戸市内	#unused
00fb	広島市内	#unused
00fd	福岡市内	#unused
00fe	北九州市内	#unused
0101	東京	
0102	有楽町	
0103	新橋	
0104	浜松町	
0105	田町	2020-03-13/
0106	高輪ゲートウェイ	2020-03-13/田町
0107	品川	
0108	大井町	
0109	大森	
010b	蒲田	
010d	川崎	
010e	鶴見	
0110	新子安	
0111	東神奈川	
0112	横浜	
0114	保土ケ谷	
0115	東戸塚	
0116	戸塚	
0118	大船	
0119	藤沢	
011a	辻堂	
011b	茅ケ崎	
011d	平塚	
011e	大磯	
0120	二宮	
0121	国府津	
0122	鴨宮	
0123	小田原	
0125	早川	
0126	根府川	
0128	真鶴	
0129	湯河原	
012b	熱海	
0133	函南	
0135	三島	
0137	沼津	
0138	片浜	
0139	原	
013b	東田子の浦	
013c	吉原	
013e	富士	
0140	富士川	
0141	新蒲原	
0142	蒲原	
0143	由比	
0145	興津	
0147	清水	
0149	草薙	
014b	東静岡	
014c	静岡	
014e	安倍川	
014f	用宗	
0151	焼津	
0152	西焼津	
0153	藤枝	
0155	六合	
0156	島田	
0158	金谷	
015a	菊川	
015c	掛川	
015d	愛野	
015e	袋井	
0160	磐田	
0161	豊田町	
0162	天竜川	
0164	浜松	
0166	高塚	
0168	舞阪	
0169	弁天島	
016a	新居町	
016b	鷲津	
016d	新所原	
016e	二川	
0170	豊橋	
0172	西小坂井	
0173	愛知御津	
0174	三河大塚	
0175	三河三谷	
0176	蒲郡	
0177	三河塩津	
0178	三ケ根	
0179	幸田	
017c	岡崎	
017d	西岡崎	
017e	安城	
017f	三河安城	
0180	東刈谷	
0181	野田新町	
0182	刈谷	
0183	逢妻	
0184	大府	
0186	共和	
0187	南大高	
0188	大高	
018a	笠寺	
018c	熱田	
018d	金山	
018e	尾頭橋	
0190	名古屋	
0192	枇杷島	
0194	清洲	
0196	稲沢	
0199	尾張一宮	
019b	木曽川	
019e	岐阜	
019f	西岐阜	
01a1	穂積	
01a3	大垣	
01a6	垂井	
01a8	関ケ原	
01aa	柏原	
01ab	近江長岡	
01ad	醒ケ井	
01af	米原	
01b1	彦根	
01b2	南彦根	
01b3	河瀬	
01b5	稲枝	
01b6	能登川	
01b8	安土	
01ba	近江八幡	
01bc	篠原	
01be	野洲	
01c0	守山	
01c1	栗東	
01c2	草津	
01c3	南草津	
01c5	瀬田	
01c6	石山	
01c7	膳所	
01c8	大津	
01ca	山科	
01cc	京都	
01cd	西大路	
01cf	桂川	
01d0	向日町	
01d2	長岡京	
01d5	山崎	
01d6	島本	
01d8	高槻	
01db	摂津富田	
01dc	JR総持寺	2018-03-17/
01dd	茨木	
01e0	千里丘	
01e1	岸辺	
01e2	吹田	
01e5	東淀川	
01e6	新大阪	
01e8	大阪	
01ea	塚本	
01ec	尼崎	
01ee	立花	
01ef	甲子園口	
01f1	西宮	
01f2	さくら夙川	
01f3	芦屋	
