地域	駅コード	駅名	備考
0	00f0	札幌市内	#unused
0	00f1	仙台市内	#unused
0	00f2	東京都区内	#unused
0	00f3	東京山手線内	#unused
0	00f4	横浜市内	#unused
0	00f6	名古屋市内	#unused
0	00f7	京都市内	#unused
0	00f8	大阪市内	#unused
0	00f9	神戸市内	#unused
0	00fb	広島市内	#unused
0	00fd	福岡市内	#unused
0	00fe	北九州市内	#unused
0	0101	東京	
0	0102	有楽町	
0	0103	新橋	
0	0104	浜松町	
0	0105	田町	2020-03-13/
0	0106	高輪ゲートウェイ	2020-03-13/田町
0	0107	品川	
0	0108	大井町	
0	0109	大森	
0	010b	蒲田	
0	010d	川崎	
0	010e	鶴見	
0	0110	新子安	
0	0111	東神奈川	
0	0112	横浜	
0	0114	保土ケ谷	
0	0115	東戸塚	
0	0116	戸塚	
0	0118	大船	
0	0119	藤沢	
0	011a	辻堂	
0	011b	茅ケ崎	
0	011d	平塚	
0	011e	大磯	
0	0120	二宮	
0	0121	国府津	
0	0122	鴨宮	
0	0123	小田原	
0	0125	早川	
0	0126	根府川	
0	0128	真鶴	
0	0129	湯河原	
0	012b	熱海	
0	0133	函南	
0	0135	三島	
0	0137	沼津	
0	0138	片浜	
0	0139	原	
0	013b	東田子の浦	
0	013c	吉原	
0	013e	富士	
0	0140	富士川	
0	0141	新蒲原	
0	0142	蒲原	
0	0143	由比	
0	0145	興津	
0	0147	清水	
0	0149	草薙	
0	014b	東静岡	
0	014c	静岡	
0	014e	安倍川	
0	014f	用宗	
0	0151	焼津	
0	0152	西焼津	
0	0153	藤枝	
0	0155	六合	
0	0156	島田	
0	0158	金谷	
0	015a	菊川	
0	015c	掛川	
0	015d	愛野	
0	015e	袋井	
0	0160	磐田	
0	0161	豊田町	
0	0162	天竜川	
0	0164	浜松	
0	0166	高塚	
0	0168	舞阪	
0	0169	弁天島	
0	016a	新居町	
0	016b	鷲津	
0	016d	新所原	
0	016e	二川	
0	0170	豊橋	
0	0172	西小坂井	
0	0173	愛知御津	
0	0174	三河大塚	
0	0175	三河三谷	
0	0176	蒲郡	
0	0177	三河塩津	
0	0178	三ケ根	
0	0179	幸田	
0	017c	岡崎	
0	017d	西岡崎	
0	017e	安城	
0	017f	三河安城	
0	0180	東刈谷	
0	0181	野田新町	
